total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
99964.00000000,0.00000000,99964.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99928.00000000,0.00000000,99928.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100835.88000000,0.00000000,100835.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100799.88000000,0.00000000,100799.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100763.88000000,0.00000000,100763.88000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
89209.46000000,0.00000000,89209.46000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
89209.46000000,0.00000000,89209.46000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
89209.46000000,0.00000000,89209.46000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
89209.46000000,0.00000000,89209.46000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
89209.46000000,0.00000000,89209.46000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
