total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],True,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100000.00000000,0.00000000,100000.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99999.00000000,0.00000000,99999.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
99998.00000000,0.00000000,99998.00000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100035.87000000,0.00000000,100035.87000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100048.68000000,0.00000000,100048.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100048.68000000,0.00000000,100048.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100048.68000000,0.00000000,100048.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100048.68000000,0.00000000,100048.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100048.68000000,0.00000000,100048.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100047.68000000,0.00000000,100047.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100046.68000000,0.00000000,100046.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.68000000,0.00000000,100074.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.68000000,0.00000000,100074.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.68000000,0.00000000,100074.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.68000000,0.00000000,100074.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.68000000,0.00000000,100074.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100074.68000000,0.00000000,100074.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100073.68000000,0.00000000,100073.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100072.68000000,0.00000000,100072.68000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100084.17000000,0.00000000,100084.17000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100099.23000000,0.00000000,100099.23000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100099.23000000,0.00000000,100099.23000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100099.23000000,0.00000000,100099.23000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100099.23000000,0.00000000,100099.23000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100099.23000000,0.00000000,100099.23000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100098.23000000,0.00000000,100098.23000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100097.23000000,0.00000000,100097.23000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100122.97000000,0.00000000,100122.97000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100158.78000000,0.00000000,100158.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100158.78000000,0.00000000,100158.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100158.78000000,0.00000000,100158.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100158.78000000,0.00000000,100158.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100158.78000000,0.00000000,100158.78000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100228.72000000,0.00000000,100228.72000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100298.79000000,0.00000000,100298.79000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100298.79000000,0.00000000,100298.79000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100298.79000000,0.00000000,100298.79000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100298.79000000,0.00000000,100298.79000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100298.79000000,0.00000000,100298.79000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100298.79000000,0.00000000,100298.79000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100298.79000000,0.00000000,100298.79000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100298.79000000,0.00000000,100298.79000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100294.50000000,0.00000000,100294.50000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100294.50000000,0.00000000,100294.50000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100314.39000000,0.00000000,100314.39000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100314.39000000,0.00000000,100314.39000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100313.91000000,0.00000000,100313.91000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100313.91000000,0.00000000,100313.91000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100313.91000000,0.00000000,100313.91000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100313.91000000,0.00000000,100313.91000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100313.91000000,0.00000000,100313.91000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100313.91000000,0.00000000,100313.91000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100312.91000000,0.00000000,100312.91000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100332.21000000,0.00000000,100332.21000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100355.94000000,0.00000000,100355.94000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100355.94000000,0.00000000,100355.94000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
100355.94000000,0.00000000,100355.94000000,USDT,SIM-001,MARGIN,USDT,[],False,{}
